[2024.06.07 00:08:37 - info ] 901600 ticks received from exchange INE
[2024.06.07 00:08:38 - info ] 4020400 ticks received from exchange SHFE
[2024.06.07 00:08:41 - info ] 4020600 ticks received from exchange SHFE
[2024.06.07 00:08:44 - info ] 4020800 ticks received from exchange SHFE
[2024.06.07 00:08:48 - info ] 4021000 ticks received from exchange SHFE
[2024.06.07 00:08:48 - info ] 901800 ticks received from exchange INE
[2024.06.07 00:08:51 - info ] 4021200 ticks received from exchange SHFE
[2024.06.07 00:08:54 - info ] 4021400 ticks received from exchange SHFE
[2024.06.07 00:08:57 - info ] 4021600 ticks received from exchange SHFE
[2024.06.07 00:08:59 - info ] 4021800 ticks received from exchange SHFE
[2024.06.07 00:09:00 - info ] 902000 ticks received from exchange INE
[2024.06.07 00:09:01 - info ] 4022000 ticks received from exchange SHFE
[2024.06.07 00:09:04 - info ] 4022200 ticks received from exchange SHFE
[2024.06.07 00:09:07 - info ] 4022400 ticks received from exchange SHFE
[2024.06.07 00:09:10 - info ] 4022600 ticks received from exchange SHFE
[2024.06.07 00:09:10 - info ] 902200 ticks received from exchange INE
[2024.06.07 00:09:12 - info ] 4022800 ticks received from exchange SHFE
[2024.06.07 00:09:13 - debug] RT tick block of SHFE.al2502 resized to 5000
[2024.06.07 00:09:14 - info ] 4023000 ticks received from exchange SHFE
[2024.06.07 00:09:17 - info ] 4023200 ticks received from exchange SHFE
[2024.06.07 00:09:19 - info ] 4023400 ticks received from exchange SHFE
[2024.06.07 00:09:21 - info ] 902400 ticks received from exchange INE
[2024.06.07 00:09:21 - info ] 4023600 ticks received from exchange SHFE
[2024.06.07 00:09:23 - info ] 4023800 ticks received from exchange SHFE
[2024.06.07 00:09:26 - info ] 4024000 ticks received from exchange SHFE
[2024.06.07 00:09:28 - info ] 4024200 ticks received from exchange SHFE
[2024.06.07 00:09:30 - info ] 902600 ticks received from exchange INE
[2024.06.07 00:09:32 - info ] 4024400 ticks received from exchange SHFE
[2024.06.07 00:09:36 - info ] 4024600 ticks received from exchange SHFE
[2024.06.07 00:09:38 - info ] 4024800 ticks received from exchange SHFE
[2024.06.07 00:09:40 - debug] RT tick block of INE.sc2407 resized to 17500
[2024.06.07 00:09:40 - info ] 4025000 ticks received from exchange SHFE
[2024.06.07 00:09:43 - info ] 4025200 ticks received from exchange SHFE
[2024.06.07 00:09:43 - info ] 902800 ticks received from exchange INE
[2024.06.07 00:09:46 - info ] 4025400 ticks received from exchange SHFE
[2024.06.07 00:09:46 - debug] RT tick block of SHFE.zn2407 resized to 15000
[2024.06.07 00:09:49 - info ] 4025600 ticks received from exchange SHFE
[2024.06.07 00:09:52 - info ] 4025800 ticks received from exchange SHFE
[2024.06.07 00:09:54 - info ] 903000 ticks received from exchange INE
[2024.06.07 00:09:55 - info ] 4026000 ticks received from exchange SHFE
[2024.06.07 00:09:58 - info ] 4026200 ticks received from exchange SHFE
[2024.06.07 00:10:01 - info ] 4026400 ticks received from exchange SHFE
[2024.06.07 00:10:03 - info ] 4026600 ticks received from exchange SHFE
[2024.06.07 00:10:05 - info ] 4026800 ticks received from exchange SHFE
[2024.06.07 00:10:05 - info ] 903200 ticks received from exchange INE
[2024.06.07 00:10:07 - info ] 4027000 ticks received from exchange SHFE
[2024.06.07 00:10:09 - info ] 4027200 ticks received from exchange SHFE
[2024.06.07 00:10:11 - info ] 4027400 ticks received from exchange SHFE
[2024.06.07 00:10:13 - info ] 4027600 ticks received from exchange SHFE
[2024.06.07 00:10:15 - info ] 903400 ticks received from exchange INE
[2024.06.07 00:10:16 - info ] 4027800 ticks received from exchange SHFE
[2024.06.07 00:10:19 - info ] 4028000 ticks received from exchange SHFE
[2024.06.07 00:10:22 - info ] 4028200 ticks received from exchange SHFE
[2024.06.07 00:10:25 - info ] 4028400 ticks received from exchange SHFE
[2024.06.07 00:10:28 - info ] 903600 ticks received from exchange INE
[2024.06.07 00:10:29 - info ] 4028600 ticks received from exchange SHFE
[2024.06.07 00:10:32 - info ] 4028800 ticks received from exchange SHFE
[2024.06.07 00:10:34 - debug] RT tick block of INE.sc2505 resized to 5000
[2024.06.07 00:10:36 - info ] 4029000 ticks received from exchange SHFE
[2024.06.07 00:10:39 - info ] 4029200 ticks received from exchange SHFE
[2024.06.07 00:10:40 - info ] 903800 ticks received from exchange INE
[2024.06.07 00:10:42 - info ] 4029400 ticks received from exchange SHFE
[2024.06.07 00:10:45 - info ] 4029600 ticks received from exchange SHFE
[2024.06.07 00:10:48 - info ] 4029800 ticks received from exchange SHFE
[2024.06.07 00:10:51 - info ] 4030000 ticks received from exchange SHFE
[2024.06.07 00:10:51 - info ] 904000 ticks received from exchange INE
[2024.06.07 00:10:53 - info ] 4030200 ticks received from exchange SHFE
[2024.06.07 00:10:55 - info ] 4030400 ticks received from exchange SHFE
[2024.06.07 00:10:57 - info ] 4030600 ticks received from exchange SHFE
