code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,SHORT,201207050930,2453.8,201207051420,2447.8,2,3600,13200,-1200,511317,DT_EnterShort,DT_ExitShort,29053,29093
CFFEX.IF.HOT,LONG,201207060925,2448.8,201207091410,2442.4,2,-3840,27360,-11760,507409,DT_EnterLong,DT_ExitLong,29106,29199
CFFEX.IF.HOT,LONG,201207101115,2427.6,201208090940,2391.6,2,-21600,29160,-53880,485743,DT_EnterLong,DT_ExitLong,29236,30405
CFFEX.IF.HOT,SHORT,201208091015,2386.2,201208091305,2404.4,2,-10920,600,-12720,474757,DT_EnterShort,DT_ExitShort,30412,30428
CFFEX.IF.HOT,SHORT,201208130925,2402,201208151405,2348.8,2,31920,42120,-1080,506611,DT_EnterShort,DT_ExitShort,30510,30656
CFFEX.IF.HOT,SHORT,201208200925,2310,201208201435,2316.2,2,-3720,8520,-3960,502827,DT_EnterShort,DT_ExitShort,30780,30824
CFFEX.IF.HOT,LONG,201208201440,2322.8,201208270925,2285.6,2,-22320,16680,-22920,480444,DT_EnterLong,DT_ExitLong,30825,31050
CFFEX.IF.HOT,LONG,201208281350,2263.2,201209030925,2207.8,2,-33240,3360,-36240,447142,DT_EnterLong,DT_ExitLong,31139,31320
CFFEX.IF.HOT,SHORT,201209041130,2227.8,201209060925,2215.8,2,7200,17400,-840,454281,DT_EnterShort,DT_ExitShort,31399,31482
CFFEX.IF.HOT,LONG,201209120925,2345.4,201210220925,2332,2,-8040,9000,-95760,446176,DT_EnterLong,DT_ExitLong,31698,32940
CFFEX.IF.HOT,LONG,201210221330,2345.6,201210231110,2338.6,2,-4200,11520,-4440,441911,DT_EnterLong,DT_ExitLong,32971,33015
CFFEX.IF.HOT,LONG,201210301045,2254,201211061020,2286.2,2,19320,45600,-9840,461169,DT_EnterLong,DT_ExitLong,33280,33545
CFFEX.IF.HOT,LONG,201211141355,2219.2,201211221345,2175.8,2,-26040,7200,-37680,435068,DT_EnterLong,DT_ExitLong,33894,34216
CFFEX.IF.HOT,SHORT,201211260925,2191.8,201212051025,2191.4,2,240,47880,-3600,435248,DT_EnterShort,DT_ExitShort,34290,34680
CFFEX.IF.HOT,LONG,201212071000,2219.4,201212130925,2259.2,2,23880,34320,-2160,459066,DT_EnterLong,DT_ExitLong,34783,34992
CFFEX.IF.HOT,LONG,201212141000,2279.2,201212201310,2366.4,2,52320,86640,-960,511322,DT_EnterLong,DT_ExitLong,35053,35289
CFFEX.IF.HOT,LONG,201212201410,2390.8,201301081005,2515.4,2,74760,105600,-6360,586014,DT_EnterLong,DT_ExitLong,35301,35810
