code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SHFE.rb.HOT,SHORT,201608180945,2565,201608181500,2547,1,180,470,-50,-3553.87,left_short_entry,收盘平仓,48224,48260
DCE.i.HOT,LONG,201608180945,437.5,201608181500,435,1,-250,300,-1100,-3805.18,right_short_entry,收盘平仓,48224,48260
SHFE.rb.HOT,SHORT,201608290910,2465,201608291500,2476,1,-110,0,-280,-3922.66,left_short_entry,收盘平仓,48700,48743
DCE.i.HOT,LONG,201608290910,421,201608291500,422,1,100,400,-150,-3823.93,right_short_entry,收盘平仓,48700,48743
SHFE.rb.HOT,SHORT,201608301105,2444,201608301500,2425,1,190,260,-180,-3641.32,left_short_entry,收盘平仓,48789,48812
DCE.i.HOT,LONG,201608301105,420,201608301500,418,1,-200,200,-550,-3842.57,right_short_entry,收盘平仓,48789,48812
SHFE.rb.HOT,SHORT,201609011035,2367,201609011500,2409,1,-420,10,-430,-4269.81,left_short_entry,收盘平仓,48921,48950
DCE.i.HOT,LONG,201609011035,410.5,201609011500,419,1,850,900,0,-3421.07,right_short_entry,收盘平仓,48921,48950
SHFE.rb.HOT,SHORT,201609020910,2414,201609021500,2410,1,40,60,-500,-3388.43,left_short_entry,收盘平仓,48976,49019
DCE.i.HOT,LONG,201609020910,423.5,201609021500,419.5,1,-400,850,-550,-3789.69,right_short_entry,收盘平仓,48976,49019
SHFE.rb.HOT,LONG,201609260910,2344,201609261500,2317,1,-270,10,-350,-4066.86,left_long_entry,收盘平仓,49918,49961
DCE.i.HOT,SHORT,201609260910,418,201609261500,411.5,1,650,1000,0,-3418.09,right_long_entry,收盘平仓,49918,49961
SHFE.rb.HOT,LONG,201610180910,2408,201610181500,2430,1,220,350,-60,-3205.53,left_long_entry,收盘平仓,50653,50696
DCE.i.HOT,SHORT,201610180910,433,201610181500,435.5,1,-250,100,-700,-3456.84,right_long_entry,收盘平仓,50653,50696
SHFE.rb.HOT,LONG,201610190910,2505,201610191500,2443,1,-620,210,-800,-4084.47,left_long_entry,收盘平仓,50722,50765
DCE.i.HOT,SHORT,201610190910,447,201610191500,436,1,1100,1450,-300,-2985.78,right_long_entry,收盘平仓,50722,50765
SHFE.rb.HOT,SHORT,201610271105,2523,201610271500,2518,1,50,380,-40,-2943.69,left_short_entry,收盘平仓,51156,51179
DCE.i.HOT,LONG,201610271105,478,201610271500,478,1,0,50,-1250,-2945.12,right_short_entry,收盘平仓,51156,51179
SHFE.rb.HOT,LONG,201611011345,2629,201611011500,2631,1,20,110,-230,-2933.4,left_long_entry,收盘平仓,51371,51386
DCE.i.HOT,SHORT,201611011345,502.5,201611011500,506,1,-350,250,-550,-3284.92,right_long_entry,收盘平仓,51371,51386
SHFE.rb.HOT,LONG,201611020910,2658,201611021500,2615,1,-430,70,-630,-3723.24,left_long_entry,收盘平仓,51412,51455
DCE.i.HOT,SHORT,201611020910,507,201611021500,492.5,1,1450,1800,-200,-2274.72,right_long_entry,收盘平仓,51412,51455
SHFE.rb.HOT,SHORT,201611090910,2886,201611091500,3013,1,-1270,0,-1430,-3553.88,left_short_entry,收盘平仓,51757,51800
DCE.i.HOT,LONG,201611090910,543,201611091500,551.5,1,850,850,-50,-2705.53,right_short_entry,收盘平仓,51757,51800
SHFE.rb.HOT,SHORT,201611110910,2986,201611111500,3139,1,-1530,0,-1620,-4245.24,left_short_entry,收盘平仓,51895,51938
DCE.i.HOT,LONG,201611110910,596.5,201611111500,614.5,1,1800,1800,0,-2447.08,right_short_entry,收盘平仓,51895,51938
SHFE.rb.HOT,SHORT,201611140930,2979,201611141500,2933,1,460,800,-870,-1996.69,left_short_entry,收盘平仓,51968,52007
DCE.i.HOT,LONG,201611140930,616,201611141500,624,1,800,3000,-1050,-1198.56,right_short_entry,收盘平仓,51968,52007
SHFE.rb.HOT,LONG,201611251105,3051,201611251500,3147,1,960,1030,0,-248.6,left_long_entry,收盘平仓,52605,52628
DCE.i.HOT,SHORT,201611251105,640,201611251500,655,1,-1500,50,-1600,-1750.57,right_long_entry,收盘平仓,52605,52628
SHFE.rb.HOT,LONG,201612071040,3380,201612071500,3392,1,120,470,-330,-1641.13,left_long_entry,收盘平仓,53152,53180
DCE.i.HOT,SHORT,201612071040,631,201612071500,646,1,-1500,300,-1750,-3143.07,right_long_entry,收盘平仓,53152,53180
SHFE.rb.HOT,SHORT,201612191105,3230,201612191500,3194,1,360,350,-440,-2792.94,left_short_entry,收盘平仓,53709,53732
DCE.i.HOT,LONG,201612191105,575,201612191500,566.5,1,-850,950,-850,-3644.64,right_short_entry,收盘平仓,53709,53732
SHFE.rb.HOT,SHORT,201612200910,3163,201612201500,3181,1,-180,380,-300,-3834.41,left_short_entry,收盘平仓,53758,53801
DCE.i.HOT,LONG,201612200910,571,201612201500,573,1,200,500,-900,-3636.13,right_short_entry,收盘平仓,53758,53801
SHFE.rb.HOT,SHORT,201612260915,2944,201612261500,2919,1,250,980,-60,-3395.28,left_short_entry,收盘平仓,54035,54077
DCE.i.HOT,LONG,201612260915,548.5,201612261500,553.5,1,500,600,-1950,-2896.94,right_short_entry,收盘平仓,54035,54077
SHFE.rb.HOT,SHORT,201612270925,2910,201612271500,2989,1,-790,260,-910,-3696.15,left_short_entry,收盘平仓,54106,54146
DCE.i.HOT,LONG,201612270925,551,201612271500,560.5,1,950,1300,-1250,-2747.83,right_short_entry,收盘平仓,54106,54146
SHFE.rb.HOT,LONG,201701101045,3113,201701101500,3167,1,540,540,-120,-2217.64,left_long_entry,收盘平仓,54716,54743
DCE.i.HOT,SHORT,201701101045,588,201701101500,594,1,-600,350,-600,-2819.42,right_long_entry,收盘平仓,54716,54743
SHFE.rb.HOT,SHORT,201701160925,3303,201701161500,3377,1,-740,40,-1150,-3569.94,left_short_entry,收盘平仓,54979,55019
DCE.i.HOT,LONG,201701160925,640,201701161500,651.5,1,1150,1750,-250,-2421.89,right_short_entry,收盘平仓,54979,55019
SHFE.rb.HOT,SHORT,201702030935,3226,201702031500,3139,1,870,1290,-50,-1562.11,left_short_entry,收盘平仓,55578,55616
DCE.i.HOT,LONG,201702030935,641.5,201702031500,613.5,1,-2800,100,-3500,-4363.95,right_short_entry,收盘平仓,55578,55616
SHFE.rb.HOT,SHORT,201702080910,3147,201702081500,3232,1,-850,0,-1010,-5224.09,left_short_entry,收盘平仓,55780,55823
DCE.i.HOT,LONG,201702080910,627,201702081500,641.5,1,1450,2050,0,-3776.01,right_short_entry,收盘平仓,55780,55823
SHFE.rb.HOT,LONG,201702161335,3471,201702161500,3401,1,-700,380,-890,-4487.13,left_long_entry,收盘平仓,56220,56237
DCE.i.HOT,SHORT,201702161335,709,201702161500,689.5,1,1950,2650,-1200,-2539.2,right_long_entry,收盘平仓,56220,56237
SHFE.rb.HOT,LONG,201702171005,3467,201702171500,3469,1,20,220,-310,-2530.35,left_long_entry,收盘平仓,56274,56306
DCE.i.HOT,SHORT,201702171005,701,201702171500,702,1,-100,550,-600,-2632.46,right_long_entry,收盘平仓,56274,56306
SHFE.rb.HOT,LONG,201702200915,3500,201702201500,3546,1,460,560,-30,-2183.73,left_long_entry,收盘平仓,56333,56375
DCE.i.HOT,SHORT,201702200915,703,201702201500,711,1,-800,100,-950,-2985.86,right_long_entry,收盘平仓,56333,56375
SHFE.rb.HOT,LONG,201702270910,3585,201702271500,3605,1,200,630,-140,-2797.32,left_long_entry,收盘平仓,56677,56720
