[2024.07.07 10:38:45 - info ] left_close =2130, right_close = 416.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2110, right_close = 412.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2130, right_close = 413.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2109, right_close = 405,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2006, right_close = 384.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1974, right_close = 355.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1919, right_close = 348.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2023, right_close = 370.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2017, right_close = 366.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2016, right_close = 368,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2013, right_close = 371.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1990, right_close = 366.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2009, right_close = 367.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2005, right_close = 370,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2109, right_close = 386.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2069, right_close = 358.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2035, right_close = 349.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2055, right_close = 353.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2050, right_close = 348.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2059, right_close = 350.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2085, right_close = 363,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2106, right_close = 372.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2088, right_close = 364,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2098, right_close = 368,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2075, right_close = 361.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2101, right_close = 369,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2095, right_close = 376.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2073, right_close = 373,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2059, right_close = 369.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2045, right_close = 370,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2047, right_close = 370.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2092, right_close = 379.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2087, right_close = 385.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2090, right_close = 386.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2061, right_close = 381.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2048, right_close = 382.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2047, right_close = 379,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2031, right_close = 376,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2018, right_close = 377.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1939, right_close = 361,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1958, right_close = 368.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1937, right_close = 362.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1965, right_close = 372,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1963, right_close = 382.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1962, right_close = 390.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1960, right_close = 387.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1918, right_close = 382.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1953, right_close = 390,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1954, right_close = 399.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1959, right_close = 410.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1946, right_close = 407,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1924, right_close = 400,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1914, right_close = 394,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1927, right_close = 393.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1931, right_close = 394,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1920, right_close = 388,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1903, right_close = 390.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1889, right_close = 383,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1905, right_close = 378.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1890, right_close = 376.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1857, right_close = 367,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1834, right_close = 367.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1827, right_close = 373,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1852, right_close = 391,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1849, right_close = 379,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1835, right_close = 376,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1830, right_close = 374.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1832, right_close = 372.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1830, right_close = 370,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1806, right_close = 371,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1806, right_close = 373,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1805, right_close = 364.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1803, right_close = 367,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1802, right_close = 369,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1799, right_close = 366,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1801, right_close = 366.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1786, right_close = 356.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1796, right_close = 360,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1783, right_close = 362,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1788, right_close = 357.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1778, right_close = 349,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1782, right_close = 351.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1779, right_close = 344,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1792, right_close = 347.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1807, right_close = 349.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1794, right_close = 347.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1774, right_close = 345.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1763, right_close = 346.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1757, right_close = 351,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1752, right_close = 348.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1752, right_close = 338.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1737, right_close = 336,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1707, right_close = 330,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1692, right_close = 334.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1662, right_close = 300.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1663, right_close = 300,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1669, right_close = 303.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1681, right_close = 306.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1648, right_close = 301.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1625, right_close = 293.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1632, right_close = 290,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1660, right_close = 293.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =1635, right_close = 290,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
